tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg
AIR,AAR CORP,31MAY2020,2019,2079.0,1176.4,902.6,2089.3,4.4,11
AAL,AMERICAN AIRLINES GROUP INC,31DEC2019,2019,59995.0,60113.0,-118.0,45768.0,1686.0,14
CECE,CECO ENVIRONMENTAL CORP,31DEC2019,2019,408.637,215.62,193.017,341.869,17.707,14
ASA,ASA GOLD AND PRECIOUS METALS,30NOV2019,2019,286.612,0.733,285.879,2.371,91.431,11
PNW,PINNACLE WEST CAPITAL CORP,31DEC2019,2019,18479.247,12926.059,5553.188,3471.209,538.32,11
AAN,AARON'S INC,31DEC2019,2019,3297.8,1560.541,1737.259,3947.656,31.472,11
ABT,ABBOTT LABORATORIES,31DEC2019,2019,67887.0,36586.0,31301.0,31904.0,3687.0,11
ACU,ACME UNITED CORP,31DEC2019,2019,110.749,55.044,55.705,142.457,5.514,12
BKTI,BK TECHNOLOGIES CORP,31DEC2019,2019,37.94,14.664,23.276,40.1,-2.636,12
AE,ADAMS RESOURCES & ENERGY INC,31DEC2019,2019,330.842,179.201,151.641,1811.247,8.207,12
AMD,ADVANCED MICRO DEVICES,31DEC2019,2019,6028.0,3201.0,2827.0,6731.0,341.0,14
AEM,AGNICO EAGLE MINES LTD,31DEC2019,2019,8789.885,3678.371,5111.514,2494.892,473.166,11
APD,AIR PRODUCTS & CHEMICALS INC,30SEP2019,2019,18942.8,7554.5,11388.3,8918.9,1760.0,11
AIRT,AIR T INC,31MAR2020,2019,151.427,120.336,25.011,236.785,7.656,14
ALK,ALASKA AIR GROUP INC,31DEC2019,2019,12993.0,8662.0,4331.0,8781.0,769.0,11
ATRI,ATRION CORP,31DEC2019,2019,262.031,24.161,237.87,155.066,36.761,14
MATX,MATSON INC,31DEC2019,2019,2845.4,2039.7,805.7,2203.1,82.7,11
ALX,ALEXANDER'S INC,31DEC2019,2019,1265.511,1011.996,253.515,226.35,60.075,11
ALCO,ALICO INC,30SEP2019,2019,417.388,217.99,199.398,122.251,37.833,14
Y,ALLEGHANY CORP,31DEC2019,2019,26931.604,17950.117,8776.734,9025.716,857.801,11
HON,HONEYWELL INTERNATIONAL INC,31DEC2019,2019,58679.0,39966.0,18706.0,36709.0,6143.0,11
SWKS,SKYWORKS SOLUTIONS INC,30SEP2019,2019,4839.6,717.3,4122.3,3376.8,853.6,14
HES,HESS CORP,31DEC2019,2019,21782.0,12076.0,9706.0,6495.0,-408.0,11
UHAL,AMERCO,31MAR2020,2019,13438.024,9217.304,4220.72,3978.868,442.048,14
ABM,ABM INDUSTRIES INC,31OCT2019,2019,3692.6,2150.6,1542.0,6498.6,127.4,11
PRI,PRIMERICA INC,31DEC2019,2019,13688.531,12036.04,1652.491,2052.504,366.391,11
ECOL,US ECOLOGY INC,31DEC2019,2019,2231.244,1219.864,1011.38,685.509,33.14,14
AEP,AMERICAN ELECTRIC POWER CO,31DEC2019,2019,75892.3,55870.5,19956.1,15561.4,1921.1,11
AXP,AMERICAN EXPRESS CO,31DEC2019,2019,198321.0,175250.0,23071.0,47020.0,6759.0,11
AFL,AFLAC INC,31DEC2019,2019,152768.0,123809.0,28959.0,22369.0,3304.0,11
AIG,AMERICAN INTERNATIONAL GROUP,31DEC2019,2019,525064.0,457637.0,67427.0,49310.0,3348.0,11
ANAT,AMERICAN NATIONAL GROUP INC,31DEC2019,2019,28597.566,22601.803,5995.763,4070.143,620.363,14
ARL,AMERICAN REALTY INVESTORS,31DEC2019,2019,830.641,534.125,296.516,73.925,-15.958,11
AMS,AMERICAN SHARED HSPTL SERV,31DEC2019,2019,53.783,21.972,31.811,20.605,0.659,12
AMSWA,AMERICAN SOFTWARE  -CL A,30APR2020,2019,171.293,51.871,119.422,115.466,6.742,14
AVD,AMERICAN VANGUARD CORP,31DEC2019,2019,670.098,325.942,344.156,468.186,13.601,11
AME,AMETEK INC,31DEC2019,2019,9844.559,4729.067,5115.492,5158.557,861.297,11
AMGN,AMGEN INC,31DEC2019,2019,59707.0,50034.0,9673.0,23362.0,7842.0,14
AP,AMPCO-PITTSBURGH CORP,31DEC2019,2019,506.56,450.944,55.616,397.904,-20.986,11
AXR,AMREP CORP,30APR2020,2019,96.666,12.029,84.637,18.783,-5.903,11
ADI,ANALOG DEVICES,31OCT2019,2019,21392.641,9683.453,11709.188,5991.065,1363.011,14
ANDE,ANDERSONS INC,31DEC2019,2019,3900.741,2705.086,1195.655,8170.191,18.307,14
NBR,NABORS INDUSTRIES LTD,31DEC2019,2019,6760.658,4285.101,2050.165,3043.383,-702.885,11
APA,APACHE CORP,31DEC2019,2019,18107.0,13087.0,4465.0,6280.0,-3553.0,14
APOG,APOGEE ENTERPRISES INC,29FEB2020,2019,1128.991,612.213,516.778,1387.439,61.914,14
AAPL,APPLE INC,30SEP2019,2019,338516.0,248028.0,90488.0,260174.0,55256.0,14
AMAT,APPLIED MATERIALS INC,31OCT2019,2019,19024.0,10810.0,8214.0,14608.0,2706.0,14
EPAC,ENERPAC TOOL GROUP CORP,31AUG2019,2019,1124.274,823.095,301.179,654.758,-249.145,11
TREC,TRECORA RESOURCES,31DEC2019,2019,301.819,130.376,171.443,258.959,-14.974,11
ADM,ARCHER-DANIELS-MIDLAND CO,31DEC2019,2019,43997.0,24714.0,19225.0,64656.0,1379.0,11
ARCB,ARCBEST CORP,31DEC2019,2019,1651.207,888.164,763.043,2988.31,39.985,14
ARW,ARROW ELECTRONICS INC,31DEC2019,2019,16400.796,11534.403,4866.393,28916.847,-204.087,11
ARTW,ARTS WAY MFG INC,30NOV2019,2019,19.347,7.553,11.794,22.889,-1.42,14
ASH,ASHLAND GLOBAL HOLDINGS INC,30SEP2019,2019,7251.0,3680.0,3571.0,2493.0,505.0,11
ALOT,ASTRONOVA INC,31JAN2020,2019,116.664,45.289,71.375,133.446,1.759,14
ATRO,ASTRONICS CORP,31DEC2019,2019,782.716,393.859,388.857,772.702,52.017,14
REX,REX AMERICAN RESOURCES CORP,31JAN2020,2019,500.502,46.896,453.606,418.034,7.427,11
ADSK,AUTODESK INC,31JAN2020,2019,6179.3,6318.4,-139.1,3274.3,214.5,14
ADP,AUTOMATIC DATA PROCESSING,30JUN2019,2019,41887.7,36487.8,5399.9,14175.2,2292.8,14
AVY,AVERY DENNISON CORP,31DEC2019,2019,5488.8,4284.8,1204.0,7070.1,303.6,11
AVT,AVNET INC,30JUN2019,2019,8564.556,4424.083,4140.473,19518.592,176.337,14
AZZ,AZZ INC,29FEB2020,2019,1073.831,439.465,634.366,1061.817,48.234,11
BTI,BRITISH AMER TOBACCO PLC,31DEC2019,2019,186747.022,101773.518,84973.504,34271.499,7554.378,11
BRT,BRT APARTMENTS CORP,31DEC2019,2019,390.61,191.05,199.56,28.867,0.856,11
BCPC,BALCHEM CORP  -CL B,31DEC2019,2019,1155.682,412.015,743.667,643.705,79.671,14
PTVCB,PROTECTIVE INSURANCE CORP,31DEC2019,2019,1634.36,1270.044,364.316,493.953,7.347,14
BLL,BALL CORP,31DEC2019,2019,17360.0,14341.0,3019.0,11474.0,566.0,11
BPOP,POPULAR INC,31DEC2019,2019,52115.324,46098.545,6016.779,2830.676,671.135,14
BOH,BANK OF HAWAII CORP,31DEC2019,2019,18095.496,16808.664,1286.832,770.735,225.913,11
BK,BANK OF NEW YORK MELLON CORP,31DEC2019,2019,381508.0,339780.0,41585.0,20007.0,4441.0,11
B,BARNES GROUP INC,31DEC2019,2019,2738.335,1467.807,1270.528,1491.118,158.35,11
BRN,BARNWELL INDUSTRIES,30SEP2019,2019,18.302,16.973,1.329,12.013,-12.414,12
GOLD,BARRICK GOLD CORP,31DEC2019,2019,44392.0,14565.0,29827.0,9717.0,3969.0,11
BSET,BASSETT FURNITURE INDS,30NOV2019,2019,275.766,97.096,178.67,452.087,-1.928,14
BAX,BAXTER INTERNATIONAL INC,31DEC2019,2019,18193.0,10281.0,7912.0,11362.0,1001.0,11
AIT,APPLIED INDUSTRIAL TECH INC,30JUN2019,2019,2331.697,1434.663,897.034,3472.739,143.993,11
BDX,BECTON DICKINSON & CO,30SEP2019,2019,51765.0,30684.0,21081.0,17290.0,1233.0,11
BELFB,BEL FUSE INC,31DEC2019,2019,468.917,300.866,168.051,492.412,-8.743,14
VZ,VERIZON COMMUNICATIONS INC,31DEC2019,2019,291727.0,228892.0,62835.0,131868.0,19265.0,11
BRK.B,BERKSHIRE HATHAWAY,31DEC2019,2019,817729.0,389166.0,428563.0,327223.0,81417.0,11
BBY,BEST BUY CO INC,31JAN2020,2019,15591.0,12112.0,3479.0,43638.0,1541.0,11
BIO,BIO-RAD LABORATORIES INC,31DEC2019,2019,8008.859,2253.802,5755.057,2311.659,1758.675,11
BKH,BLACK HILLS CORP,31DEC2019,2019,7558.457,5094.388,2464.069,1734.9,199.31,11
HRB,BLOCK H & R INC,30APR2020,2019,5112.047,5041.006,71.041,2639.72,-7.526,11
BA,BOEING CO,31DEC2019,2019,133625.0,141925.0,-8300.0,84818.0,-636.0,11
RHI,ROBERT HALF INTL INC,31DEC2019,2019,2311.408,1167.725,1143.683,6074.432,454.433,11
RFP,RESOLUTE FOREST PRODUCTS INC,31DEC2019,2019,3626.0,2391.0,1235.0,2923.0,-47.0,11
BWL.A,BOWL AMERICA INC  -CL A,30JUN2019,2019,28.389,4.469,23.92,24.419,3.049,12
BRC,BRADY CORP,31JUL2019,2019,1157.308,306.534,850.774,1160.645,131.258,11
BAM,BROOKFIELD ASSET MANAGEMENT,31DEC2019,2019,323969.0,207123.0,116846.0,69111.0,2807.0,11
BRID,BRIDGFORD FOODS CORP,31OCT2019,2019,123.456,56.972,66.484,188.785,6.484,14
BMY,BRISTOL-MYERS SQUIBB CO,31DEC2019,2019,129944.0,78246.0,51698.0,26145.0,3439.0,11
BP,BP PLC,31DEC2019,2019,295194.0,194486.0,100708.0,278397.0,4026.0,11
BF.B,BROWN FORMAN CORP,30APR2020,2019,5766.0,3791.0,1975.0,3363.0,827.0,11
CAL,CALERES INC,31JAN2020,2019,2431.707,1782.577,649.13,2921.562,62.819,11
BC,BRUNSWICK CORP,31DEC2019,2019,3564.4,2263.5,1300.9,4108.4,-131.0,11
MTRN,MATERION CORP,31DEC2019,2019,852.67,241.993,610.677,1185.424,50.66,11
MTZ,MASTEC INC,31DEC2019,2019,4997.006,3205.315,1791.691,7183.188,392.334,11
UIS,UNISYS CORP,31DEC2019,2019,2504.0,3732.3,-1228.3,2931.2,-17.2,11
RAMP,LIVERAMP HOLDINGS INC,31MAR2020,2019,1301.889,214.377,1087.512,380.572,-124.511,11
CI,CIGNA CORP,31DEC2019,2019,155774.0,110395.0,45344.0,153699.0,5104.0,11
CNA,CNA FINANCIAL CORP,31DEC2019,2019,60612.0,48397.0,12215.0,10587.0,1000.0,11
CSPI,CSP INC,30SEP2019,2019,59.369,28.941,30.428,79.061,-0.371,14
CSX,CSX CORP,31DEC2019,2019,38257.0,26394.0,11863.0,11937.0,3331.0,14
CTS,CTS CORP,31DEC2019,2019,643.354,238.135,405.219,468.999,36.146,11
CVV,CVD EQUIPMENT CORP,31DEC2019,2019,46.723,16.765,29.958,19.647,-6.328,14
CBT,CABOT CORP,30SEP2019,2019,3004.0,1870.0,1134.0,3337.0,157.0,11
CACI,CACI INTL INC  -CL A,30JUN2019,2019,5086.843,2715.377,2371.466,4986.341,265.604,11
CAMP,CALAMP CORP,29FEB2020,2019,495.805,357.886,137.919,366.107,-79.304,14
CWT,CALIFORNIA WATER SERVICE GP,31DEC2019,2019,3111.308,2331.402,779.906,714.557,63.116,11
CPB,CAMPBELL SOUP CO,31JUL2019,2019,13148.0,12036.0,1112.0,8107.0,211.0,11
STZ,CONSTELLATION BRANDS,29FEB2020,2019,27323.2,14848.9,12474.3,8343.5,-11.8,11
CAJ,CANON INC,31DEC2019,2019,43875.839,17265.942,26609.897,33063.633,1151.15,11
CAH,CARDINAL HEALTH INC,30JUN2019,2019,40963.0,34633.0,6330.0,145534.0,1363.0,11
CSL,CARLISLE COS INC,31DEC2019,2019,5496.0,2853.2,2642.8,4811.6,472.8,11
CRS,CARPENTER TECHNOLOGY CORP,30JUN2019,2019,3187.8,1667.7,1520.1,2380.2,167.0,11
CASY,CASEYS GENERAL STORES INC,30APR2020,2019,3943.892,2300.687,1643.205,8112.296,263.846,14
CAT,CATERPILLAR INC,31DEC2019,2019,78453.0,63824.0,14629.0,53800.0,6093.0,11
CATO,CATO CORP  -CL A,31JAN2020,2019,684.976,368.462,316.514,825.335,35.897,11
CVCO,CAVCO INDUSTRIES INC,31MAR2020,2019,810.431,202.845,607.586,1061.774,75.066,14
RFIL,R F INDUSTRIES LTD,31OCT2019,2019,37.7,6.167,31.533,55.325,3.521,14
CTL,CENTURYLINK INC,31DEC2019,2019,64742.0,51272.0,13470.0,22401.0,-5269.0,11
MGLN,MAGELLAN HEALTH INC,31DEC2019,2019,3092.173,1694.39,1397.783,7159.423,55.902,14
CMD,CANTEL MEDICAL CORP,31JUL2019,2019,1070.366,408.829,661.537,918.155,55.042,11
CHE,CHEMED CORP,31DEC2019,2019,1268.317,541.709,726.608,1938.555,219.923,11
JPM,JPMORGAN CHASE & CO,31DEC2019,2019,2687379.0,2426049.0,261330.0,142422.0,36431.0,11
CPK,CHESAPEAKE UTILITIES CORP,31DEC2019,2019,1783.198,1221.621,561.577,479.604,65.153,11
CLSN,CELSION CORP,31DEC2019,2019,38.278,23.719,14.559,0.5,-16.852,14
CVX,CHEVRON CORP,31DEC2019,2019,237428.0,92220.0,145208.0,139865.0,2924.0,11
CVR,CHICAGO RIVET & MACHINE CO,31DEC2019,2019,31.723,2.565,29.158,32.873,0.538,12
EAT,BRINKER INTL INC,30JUN2019,2019,1258.3,2036.5,-778.2,3217.9,154.9,11
CHD,CHURCH & DWIGHT INC,31DEC2019,2019,6657.4,3989.6,2667.8,4357.7,615.9,11
CHDN,CHURCHILL DOWNS INC,31DEC2019,2019,2551.0,2040.0,511.0,1329.7,137.5,14
CBB,CINCINNATI BELL INC,31DEC2019,2019,2653.8,2793.8,-140.0,1536.7,-66.6,11
CTAS,CINTAS CORP,31MAY2020,2019,7669.885,4434.683,3235.202,7085.12,876.037,14
IHRT,IHEARTMEDIA INC,31DEC2019,2019,11021.099,8015.658,3005.441,3683.527,11296.689,14
CLF,CLEVELAND-CLIFFS INC,31DEC2019,2019,3503.8,3145.9,357.9,1989.9,292.8,11
CLX,CLOROX CO/DE,30JUN2019,2019,5116.0,4557.0,559.0,6214.0,820.0,11
COKE,COCA COLA CONSOLIDATED INC,31DEC2019,2019,3126.926,2675.81,451.116,4826.549,11.375,14
KO,COCA-COLA CO,31DEC2019,2019,86381.0,65283.0,21098.0,37266.0,8920.0,11
CDE,COEUR MINING INC,31DEC2019,2019,1378.636,711.632,667.004,711.502,-341.203,11
COHR,COHERENT INC,30SEP2019,2019,2083.169,798.433,1284.736,1430.64,53.825,14
COHU,COHU INC,31DEC2019,2019,1077.71,594.638,483.072,583.329,-69.7,14
CL,COLGATE-PALMOLIVE CO,31DEC2019,2019,15034.0,14476.0,558.0,15693.0,2367.0,11
CCF,CHASE CORP,31AUG2019,2019,307.968,36.741,271.227,281.351,32.711,12
AON,AON PLC,31DEC2019,2019,29405.0,25956.0,3449.0,11013.0,1532.0,11
CMCSA,COMCAST CORP,31DEC2019,2019,263414.0,178168.0,83874.0,108942.0,13057.0,14
CMA,COMERICA INC,31DEC2019,2019,73402.0,66075.0,7327.0,3817.0,1198.0,11
CBSH,COMMERCE BANCSHARES INC,31DEC2019,2019,26065.789,22927.317,3138.472,1439.114,421.231,14
C,CITIGROUP INC,31DEC2019,2019,1951158.0,1757212.0,193946.0,103449.0,19401.0,11
CMC,COMMERCIAL METALS,31AUG2019,2019,3758.771,2134.714,1624.057,5829.002,198.093,11
JCS,COMMUNICATIONS SYSTEMS INC,31DEC2019,2019,59.151,11.759,47.392,50.906,6.469,14
CAR,AVIS BUDGET GROUP INC,31DEC2019,2019,23126.0,22470.0,656.0,9172.0,302.0,14
DXC,DXC TECHNOLOGY CO,31MAR2020,2019,26006.0,20877.0,5129.0,19577.0,-5369.0,11
CTG,COMPUTER TASK GROUP INC,31DEC2019,2019,158.706,92.47,66.236,394.17,4.125,14
CMTL,COMTECH TELECOMMUN,31JUL2019,2019,887.711,352.629,535.082,671.797,25.041,14
CAG,CONAGRA BRANDS INC,31MAY2020,2019,22304.0,14353.3,7950.7,11054.4,840.1,11
RAVE,RAVE RESTAURANT GROUP INC,30JUN2019,2019,10.426,5.992,4.434,12.319,-0.75,14
SSTK,SHUTTERSTOCK INC,31DEC2019,2019,630.512,302.367,328.145,650.523,20.108,11
TCI,TRANSCONTINENTAL RLTY INVS,31DEC2019,2019,865.918,511.851,354.067,64.819,-26.92,11
ED,CONSOLIDATED EDISON INC,31DEC2019,2019,58079.0,39866.0,18213.0,12574.0,1343.0,11
BH,BIGLARI HOLDINGS INC,31DEC2019,2019,1139.309,523.011,616.298,668.838,45.38,11
CTO,CTO REALTY GROWTH INC,31DEC2019,2019,703.286,417.873,285.413,44.941,114.973,12
CMS,CMS ENERGY CORP,31DEC2019,2019,26837.0,21782.0,5055.0,6845.0,680.0,11
CUO,CONTINENTAL MATERIALS CORP,31DEC2019,2019,89.983,54.794,35.189,113.276,-13.899,12
CLR,CONTINENTAL RESOURCES INC,31DEC2019,2019,15727.907,8619.556,7108.351,4631.947,775.641,11
CTB,COOPER TIRE & RUBBER CO,31DEC2019,2019,2802.338,1474.605,1327.733,2752.639,96.404,11
COO,COOPER COS INC (THE),31OCT2019,2019,6274.5,2645.9,3628.6,2653.4,466.7,11
TAP,MOLSON COORS BEVERAGE CO,31DEC2019,2019,28859.8,15186.7,13673.1,10579.4,241.7,11
GLW,CORNING INC,31DEC2019,2019,28898.0,15901.0,12997.0,11503.0,960.0,11
CUZ,COUSINS PROPERTIES INC,31DEC2019,2019,7151.447,2723.612,4427.835,670.181,150.418,11
CBRL,CRACKER BARREL OLD CTRY STOR,31JUL2019,2019,1581.225,976.515,604.71,3071.951,223.401,14
CR,CRANE CO,31DEC2019,2019,4423.7,2947.4,1476.3,3283.1,133.3,11
CRD.A,CRAWFORD & CO,31DEC2019,2019,760.013,595.136,162.567,1047.627,12.485,11
OMF,ONEMAIN HOLDINGS INC,31DEC2019,2019,22817.0,18487.0,4330.0,4784.0,855.0,11
CCK,CROWN HOLDINGS INC,31DEC2019,2019,15505.0,13413.0,2092.0,11665.0,510.0,11
CRWS,CROWN CRAFTS INC,31MAR2020,2019,57.173,14.737,42.436,73.396,6.561,14
CUB,CUBIC CORP,30SEP2019,2019,1847.17,866.602,980.568,1496.475,49.694,11
CFR,CULLEN/FROST BANKERS INC,31DEC2019,2019,34027.428,30115.76,3911.668,1490.987,443.599,11
CULP,CULP INC,30APR2020,2019,215.084,85.386,129.698,256.166,-28.667,11
CMI,CUMMINS INC,31DEC2019,2019,19737.0,11272.0,8465.0,23571.0,2260.0,11
CW,CURTISS-WRIGHT CORP,31DEC2019,2019,3764.261,1989.889,1774.372,2487.961,307.583,11
WEN,WENDY'S CO,31DEC2019,2019,4994.529,4478.17,516.359,1709.002,136.94,14
DAN,DANA INC,31DEC2019,2019,7220.0,5085.0,1968.0,8620.0,226.0,11
DHR,DANAHER CORP,31DEC2019,2019,62081.6,31799.7,30281.9,17911.1,3008.2,11
DAIO,DATA I/O CORP,31DEC2019,2019,28.281,6.751,21.53,21.568,-1.187,14
DWSN,DAWSON GEOPHYSICAL CO,31DEC2019,2019,127.608,24.443,103.165,145.773,-15.213,14
TGT,TARGET CORP,31JAN2020,2019,42779.0,30946.0,11833.0,78112.0,3281.0,11
DE,DEERE & CO,31OCT2019,2019,73011.0,61580.0,11417.0,39258.0,3253.0,11
DAL,DELTA AIR LINES INC,31DEC2019,2019,64532.0,49174.0,15358.0,47007.0,4767.0,11
DLX,DELUXE CORP,31DEC2019,2019,1943.311,1372.45,570.861,2008.715,-199.897,11
DTE,DTE ENERGY CO,31DEC2019,2019,41882.0,30046.0,11836.0,12669.0,1169.0,11
ATGE,ADTALEM GLOBAL EDUCATION INC,30JUN2019,2019,2242.696,841.623,1391.53,1239.687,95.168,11
DBD,DIEBOLD NIXDORF INC,31DEC2019,2019,3790.6,4276.0,-506.3,4408.7,-341.3,11
NSYS,NORTECH SYSTEMS INC,31DEC2019,2019,61.41,41.434,19.976,116.333,-1.228,14
DDS,DILLARDS INC  -CL A,31JAN2020,2019,3430.257,1806.998,1623.259,6343.211,111.081,11
DIOD,DIODES INC,31DEC2019,2019,1639.384,486.601,1152.783,1249.13,153.25,14
DIS,DISNEY (WALT) CO,30SEP2019,2019,193984.0,91132.0,93889.0,69570.0,11054.0,11
DXYN,DIXIE GROUP INC,31DEC2019,2019,247.659,174.448,73.211,374.582,15.271,14
DG,DOLLAR GENERAL CORP,31JAN2020,2019,22825.084,16122.584,6702.5,27753.973,1712.555,11
D,DOMINION ENERGY INC,31DEC2019,2019,103823.0,69790.0,34033.0,16572.0,1358.0,11
DCI,DONALDSON CO INC,31JUL2019,2019,2142.6,1239.9,892.7,2844.9,267.2,11
RRD,DONNELLEY (R R) & SONS CO,31DEC2019,2019,3330.1,3700.4,-370.3,6276.2,-93.2,11
DMLP,DORCHESTER MINERALS  -LP,31DEC2019,2019,116.883,4.547,112.336,78.799,52.765,14
DOV,DOVER CORP,31DEC2019,2019,8669.477,5636.817,3032.66,7136.397,677.918,11
DD,DUPONT DE NEMOURS INC,31DEC2019,2019,69396.0,27840.0,41556.0,21512.0,498.0,11
OMC,OMNICOM GROUP,31DEC2019,2019,26783.4,23202.4,3373.7,14953.7,1339.1,11
DCO,DUCOMMUN INC,31DEC2019,2019,790.429,497.629,292.8,721.088,32.461,11
DUK,DUKE ENERGY CORP,31DEC2019,2019,158838.0,110887.0,47951.0,25079.0,3748.0,11
DNB,DUN & BRADSTREET HOLDNGS INC,31DEC2019,2019,9112.8,6503.3,2609.5,1413.9,-560.0,11
FLS,FLOWSERVE CORP,31DEC2019,2019,4919.642,3103.683,1815.959,3944.85,253.668,11
DY,DYCOM INDUSTRIES INC,31JAN2020,2019,2217.631,1349.027,868.604,3339.682,57.215,11
DYNT,DYNATRONICS CORP,30JUN2019,2019,39.632,18.876,20.756,62.565,-0.922,14
PKI,PERKINELMER INC,31DEC2019,2019,6538.564,3724.74,2813.824,2883.673,227.558,11
EML,EASTERN CO,31DEC2019,2019,280.663,175.226,105.437,251.743,13.266,14
EGP,EASTGROUP PROPERTIES,31DEC2019,2019,2546.078,1343.749,1202.329,331.516,121.662,11
KODK,EASTMAN KODAK CO,31DEC2019,2019,1415.0,1134.0,281.0,1242.0,116.0,11
ETN,EATON CORP PLC,31DEC2019,2019,32805.0,16672.0,16133.0,21390.0,2211.0,11
EV,EATON VANCE CORP,31OCT2019,2019,4253.629,2783.595,1184.119,1683.252,400.035,11
ECL,ECOLAB INC,31DEC2019,2019,20869.1,12143.3,8725.8,14906.3,1558.9,11
EDUC,EDUCATIONAL DEVELOPMENT CORP,29FEB2020,2019,64.703,35.31,29.393,113.012,5.645,14
EE,EL PASO ELECTRIC CO,31DEC2019,2019,3813.2,2596.653,1216.547,861.994,123.037,11
ELSE,ELECTRO-SENSORS INC,31DEC2019,2019,13.475,0.584,12.891,8.258,0.187,14
EMR,EMERSON ELECTRIC CO,30SEP2019,2019,20497.0,12224.0,8273.0,18372.0,2306.0,11
MSN,EMERSON RADIO CORP,31MAR2020,2019,37.901,3.48,34.421,6.293,-4.307,12
ATO,ATMOS ENERGY CORP,30SEP2019,2019,13367.619,7617.396,5750.223,2901.848,511.406,11
MARA,MARATHON PATENT GROUP INC,31DEC2019,2019,6.62,2.972,3.648,1.185,-3.517,14
EBF,ENNIS INC,29FEB2020,2019,365.699,71.37,294.329,438.412,38.292,11
ENZ,ENZO BIOCHEM INC,31JUL2019,2019,106.64,20.612,86.028,81.17,2.489,11
EFX,EQUIFAX INC,31DEC2019,2019,7909.0,5286.1,2622.9,3527.6,-398.8,11
EQT,EQT CORP,31DEC2019,2019,18809.227,9005.639,9803.588,4416.484,-1221.695,11
ERIC,TELEFONAKTIEBOLAGET LM ERICS,31DEC2019,2019,29585.1,20820.564,8764.536,24322.075,237.958,14
ESCA,ESCALADE INC,31DEC2019,2019,148.779,22.609,126.17,180.541,7.258,14
ESP,ESPEY MFG & ELECTRONICS CORP,30JUN2019,2019,35.688,3.762,31.926,36.478,2.343,12
NEU,NEWMARKET CORP,31DEC2019,2019,1885.132,1202.034,683.098,2190.295,254.286,11
KINS,KINGSTONE COS INC,31DEC2019,2019,321.203,232.981,88.222,145.563,-5.966,14
EXPD,EXPEDITORS INTL WASH INC,31DEC2019,2019,3691.884,1494.665,2197.219,8175.426,590.395,14
BOOM,DMC GLOBAL INC,31DEC2019,2019,277.421,105.28,172.141,397.55,34.041,14
IIIN,INSTEEL INDUSTRIES,30SEP2019,2019,293.009,46.992,246.017,455.713,5.598,14
XOM,EXXON MOBIL CORP,31DEC2019,2019,362597.0,163659.0,198938.0,255583.0,14340.0,11
FMC,FMC CORP,31DEC2019,2019,9872.7,7311.3,2561.4,4609.8,477.4,11
NEE,NEXTERA ENERGY INC,31DEC2019,2019,117691.0,75844.0,41360.0,19204.0,3769.0,11
FARM,FARMER BROTHERS CO,30JUN2019,2019,424.61,267.116,157.494,595.942,-73.595,14
FDX,FEDEX CORP,31MAY2020,2019,73537.0,55242.0,18295.0,69217.0,1286.0,11
FRT,FEDERAL REALTY INVESTMENT TR,31DEC2019,2019,6794.992,4019.102,2636.132,935.042,353.866,11
FSS,FEDERAL SIGNAL CORP,31DEC2019,2019,1165.5,523.9,641.6,1221.3,108.5,11
M,MACY'S INC,31JAN2020,2019,21172.0,14795.0,6377.0,25331.0,564.0,11
FOE,FERRO CORP,31DEC2019,2019,1834.621,1464.419,370.202,1018.366,6.038,11
CLBS,CALADRIUS BIOSCIENCES INC,31DEC2019,2019,27.153,6.6,20.553,0.0,-19.361,14
FITB,FIFTH THIRD BANCORP,31DEC2019,2019,169369.0,148166.0,21203.0,8900.0,2512.0,14
RF,REGIONS FINANCIAL CORP,31DEC2019,2019,126240.0,109945.0,16295.0,6755.0,1582.0,11
TRMK,TRUSTMARK CORP,31DEC2019,2019,13497.877,11837.175,1660.702,697.537,150.46,14
FCNCA,FIRST CITIZENS BANCSH  -CL A,31DEC2019,2019,39824.496,36238.312,3586.184,1819.872,457.371,14
MTB,M & T BANK CORP,31DEC2019,2019,119872.757,104156.108,15716.649,6941.272,1929.149,11
USB,U S BANCORP,31DEC2019,2019,495426.0,442943.0,52483.0,27325.0,6914.0,11
FHN,FIRST HORIZON NATIONAL CORP,31DEC2019,2019,43310.9,38234.892,5076.008,2278.362,440.908,11
BDL,FLANIGANS ENTERPRISES INC,30SEP2019,2019,68.755,24.226,44.529,116.202,3.648,12
FLXS,FLEXSTEEL INDUSTRIES INC,30JUN2019,2019,254.287,48.86,205.427,443.588,-32.605,14
FLO,FLOWERS FOODS INC,31DEC2019,2019,3177.776,1914.346,1263.43,4123.974,164.538,11
FONR,FONAR CORP,30JUN2019,2019,133.56,15.448,118.112,87.193,15.317,14
F,FORD MOTOR CO,31DEC2019,2019,258537.0,225307.0,33230.0,155900.0,47.0,11
FSTR,FOSTER (LB) CO,31DEC2019,2019,405.171,235.309,169.862,655.057,42.568,14
FELE,FRANKLIN ELECTRIC CO INC,31DEC2019,2019,1194.743,396.31,798.669,1314.578,95.483,14
BEN,FRANKLIN RESOURCES INC,30SEP2019,2019,14532.2,3161.3,10624.2,5774.5,1195.7,11
FEIM,FREQUENCY ELECTRONICS INC,30APR2020,2019,91.276,37.04,54.236,41.507,-10.026,14
